,Unnamed: 0,Item Name,Date,Average Price
0,0,Air rune,2023-02-21 18:35:00,4.995909896351676
1,1,Air rune,2023-02-21 18:40:00,4.987350819553975
2,2,Air rune,2023-02-21 18:45:00,4.947802599785658
3,3,Air rune,2023-02-21 18:50:00,4.982055123310621
4,4,Air rune,2023-02-21 18:55:00,4.99618811497637
5,5,Air rune,2023-02-21 19:00:00,4.67635911179173
6,6,Air rune,2023-02-21 19:05:00,4.939104360497702
7,7,Air rune,2023-02-21 19:10:00,4.989711178070111
8,8,Air rune,2023-02-21 19:15:00,4.0
9,9,Air rune,2023-02-21 19:20:00,4.999442213297635
10,10,Air rune,2023-02-21 19:25:00,4.993536470756763
11,11,Air rune,2023-02-21 19:30:00,4.999638321649904
12,12,Air rune,2023-02-21 19:35:00,4.177699816179675
13,13,Air rune,2023-02-21 19:40:00,4.999018521301376
14,14,Air rune,2023-02-21 19:45:00,4.0
15,15,Air rune,2023-02-21 19:50:00,5.0
16,16,Air rune,2023-02-21 19:55:00,4.987614721987391
17,17,Air rune,2023-02-21 20:00:00,4.984283180478322
18,18,Air rune,2023-02-21 20:05:00,4.9993974750661
19,19,Air rune,2023-02-21 20:10:00,4.6973826554502445
20,20,Air rune,2023-02-21 20:15:00,4.95193669108705
21,21,Air rune,2023-02-21 20:20:00,4.998446020619412
22,22,Air rune,2023-02-21 20:25:00,4.999392919709296
23,23,Air rune,2023-02-21 20:30:00,4.0
24,24,Air rune,2023-02-21 20:35:00,4.7232490438952
25,25,Air rune,2023-02-21 20:40:00,4.0
26,26,Air rune,2023-02-21 20:45:00,4.806970957488967
27,27,Air rune,2023-02-21 20:50:00,4.9943033795274445
28,28,Air rune,2023-02-21 20:55:00,4.977956235272176
29,29,Air rune,2023-02-21 21:00:00,4.0
30,30,Air rune,2023-02-21 21:05:00,5.0
31,31,Air rune,2023-02-21 21:10:00,4.923053303189061
32,32,Air rune,2023-02-21 21:15:00,4.413957088422638
33,33,Air rune,2023-02-21 21:20:00,4.92186414958463
34,34,Air rune,2023-02-21 21:25:00,4.988617045683848
35,35,Air rune,2023-02-21 21:30:00,4.982084838191022
36,36,Air rune,2023-02-21 21:35:00,4.971502782552286
37,37,Air rune,2023-02-21 21:40:00,4.945098885359091
38,38,Air rune,2023-02-21 21:45:00,4.767979812677577
39,39,Air rune,2023-02-21 21:50:00,4.985400069153854
40,40,Air rune,2023-02-21 21:55:00,4.9409611019862565
